campanha,tipo_campanha,canal,grupo
CRM_REST_AQUISICAO_CRM_CHURN_24M_PARTE_1_11_11_2022_WHATSAPP,CRM Churn,CRM,CRM
CRM_REST_AQUISICAO_CRM_CHURN_24M_PARTE_2_12_11_2022_WHATSAPP,CRM Churn,CRM,CRM
CRM_REST_AQUISICAO_CRM_CHURN_6_A_11M_PARTE_1_11_11_2022_WHATSAPP,CRM Churn,CRM,CRM
CRM_REST_AQUISICAO_CRM_CHURN_6_A_11M_PARTE_2_12_11_2022_WHATSAPP,CRM Churn,CRM,CRM
CRM_REST_AQUISICAO_CRM_CHURN_ATIVACAO_24MESES_24_10_2022_WHATSAPP,CRM Churn,CRM,CRM
CRM_REST_AQUISICAO_CRM_CHURN_ATIVACAO_6_12MESES_PARTE1_26_10_2022_WHATSAPP,CRM Churn,CRM,CRM
CRM_REST_AQUISICAO_CRM_CNAE_13_10_2022_WHATSAPP,CRM Aquisição,CRM,CRM
CRM_REST_AQUISICAO_CRM_CNAE_15_9_2022_WHATSAPP,CRM Aquisição,CRM,CRM
CRM_REST_AQUISICAO_CRM_CNAE_18_10_2022_WHATSAPP,CRM Aquisição,CRM,CRM
CRM_REST_AQUISICAO_CRM_CNAE_1MES_29_8_2022_E-MAIL,CRM Aquisição,CRM,CRM
CRM_REST_AQUISICAO_CRM_CNAE_1MES_29_8_2022_WHATSAPP,CRM Aquisição,CRM,CRM
CRM_REST_AQUISICAO_CRM_CNAE_ABANDONO_31_8_2022_WHATSAPP,CRM Aquisição,CRM,CRM
CRM_REST_AQUISICAO_CRM_CNAE_BENEFICIOS_26_8_2022_WHATSAPP,CRM Aquisição,CRM,CRM
CRM_REST_AQUISICAO_CRM_CNAE_FDS_27_8_2022_WHATSAPP,CRM Aquisição,CRM,CRM
CRM_REST_AQUISICAO_CRM_CNAE_LIBERADO_NOVEMBRO_OFERTAS_11_11_2022_WHATSAPP,CRM Aquisição,CRM,CRM
CRM_REST_AQUISICAO_CRM_CNAE_MSG_COMERCIAL_25_8_2022_WHATSAPP,CRM Aquisição,CRM,CRM
CRM_REST_AQUISICAO_CRM_CNAE_SABADO_24_9_2022_WHATSAPP,CRM Aquisição,CRM,CRM
CRM_REST_AQUISICAO_CRM_CNAE_SEMANA1_4_10_2022_WHATSAPP,CRM Aquisição,CRM,CRM
CRM_REST_AQUISICAO_CRM_CNAE_TOOLKIT_23_8_2022_WHATSAPP,CRM Aquisição,CRM,CRM
CRM_REST_AQUISICAO_CRM_CONTAS_11_10_2022_WHATSAPP,CRM Aquisição,CRM,CRM
CRM_REST_AQUISICAO_CRM_CONTAS_4_10_2022_WHATSAPP,CRM Aquisição,CRM,CRM
CRM_REST_AQUISICAO_CRM_CONTAS_5_10_2022_WHATSAPP,CRM Aquisição,CRM,CRM
